14 八月 2020 17:28:00,511 INFO  [main] (org.apache.curator.framework.imps.CuratorFrameworkImpl.start:235)  - Starting
14 八月 2020 17:28:09,525 INFO  [main] (org.apache.zookeeper.Environment.logEnv:100)  - Client environment:zookeeper.version=3.4.8--1, built on 02/06/2016 03:18 GMT
14 八月 2020 17:28:09,525 INFO  [main] (org.apache.zookeeper.Environment.logEnv:100)  - Client environment:host.name=DESKTOP-OK0LTAT
14 八月 2020 17:28:09,527 INFO  [main] (org.apache.zookeeper.Environment.logEnv:100)  - Client environment:java.version=1.8.0_251
14 八月 2020 17:28:09,527 INFO  [main] (org.apache.zookeeper.Environment.logEnv:100)  - Client environment:java.vendor=Oracle Corporation
14 八月 2020 17:28:09,527 INFO  [main] (org.apache.zookeeper.Environment.logEnv:100)  - Client environment:java.home=C:\Program Files\Java\jdk1.8.0_251\jre
14 八月 2020 17:28:09,529 INFO  [main] (org.apache.zookeeper.Environment.logEnv:100)  - Client environment:java.class.path=C:\Program Files\Java\jdk1.8.0_251\jre\lib\charsets.jar;C:\Program Files\Java\jdk1.8.0_251\jre\lib\deploy.jar;C:\Program Files\Java\jdk1.8.0_251\jre\lib\ext\access-bridge-64.jar;C:\Program Files\Java\jdk1.8.0_251\jre\lib\ext\cldrdata.jar;C:\Program Files\Java\jdk1.8.0_251\jre\lib\ext\dnsns.jar;C:\Program Files\Java\jdk1.8.0_251\jre\lib\ext\jaccess.jar;C:\Program Files\Java\jdk1.8.0_251\jre\lib\ext\jfxrt.jar;C:\Program Files\Java\jdk1.8.0_251\jre\lib\ext\localedata.jar;C:\Program Files\Java\jdk1.8.0_251\jre\lib\ext\nashorn.jar;C:\Program Files\Java\jdk1.8.0_251\jre\lib\ext\sunec.jar;C:\Program Files\Java\jdk1.8.0_251\jre\lib\ext\sunjce_provider.jar;C:\Program Files\Java\jdk1.8.0_251\jre\lib\ext\sunmscapi.jar;C:\Program Files\Java\jdk1.8.0_251\jre\lib\ext\sunpkcs11.jar;C:\Program Files\Java\jdk1.8.0_251\jre\lib\ext\zipfs.jar;C:\Program Files\Java\jdk1.8.0_251\jre\lib\javaws.jar;C:\Program Files\Java\jdk1.8.0_251\jre\lib\jce.jar;C:\Program Files\Java\jdk1.8.0_251\jre\lib\jfr.jar;C:\Program Files\Java\jdk1.8.0_251\jre\lib\jfxswt.jar;C:\Program Files\Java\jdk1.8.0_251\jre\lib\jsse.jar;C:\Program Files\Java\jdk1.8.0_251\jre\lib\management-agent.jar;C:\Program Files\Java\jdk1.8.0_251\jre\lib\plugin.jar;C:\Program Files\Java\jdk1.8.0_251\jre\lib\resources.jar;C:\Program Files\Java\jdk1.8.0_251\jre\lib\rt.jar;C:\Users\ADMIN\IdeaProjects\test\target\classes;G:\apache-maven-3.6.1\repo\org\apache\curator\curator-framework\2.12.0\curator-framework-2.12.0.jar;G:\apache-maven-3.6.1\repo\org\apache\curator\curator-client\2.12.0\curator-client-2.12.0.jar;G:\apache-maven-3.6.1\repo\com\google\guava\guava\16.0.1\guava-16.0.1.jar;G:\apache-maven-3.6.1\repo\org\slf4j\slf4j-api\1.7.6\slf4j-api-1.7.6.jar;G:\apache-maven-3.6.1\repo\org\apache\zookeeper\zookeeper\3.4.8\zookeeper-3.4.8.jar;G:\apache-maven-3.6.1\repo\org\slf4j\slf4j-log4j12\1.6.1\slf4j-log4j12-1.6.1.jar;G:\apache-maven-3.6.1\repo\log4j\log4j\1.2.16\log4j-1.2.16.jar;G:\apache-maven-3.6.1\repo\jline\jline\0.9.94\jline-0.9.94.jar;G:\apache-maven-3.6.1\repo\io\netty\netty\3.7.0.Final\netty-3.7.0.Final.jar;G:\apache-maven-3.6.1\repo\commons-io\commons-io\2.5\commons-io-2.5.jar;G:\apache-maven-3.6.1\repo\com\101tec\zkclient\0.11\zkclient-0.11.jar;G:\apache-maven-3.6.1\repo\org\apache\flume\flume-ng-core\1.9.0\flume-ng-core-1.9.0.jar;G:\apache-maven-3.6.1\repo\org\apache\flume\flume-ng-configuration\1.9.0\flume-ng-configuration-1.9.0.jar;G:\apache-maven-3.6.1\repo\org\apache\flume\flume-ng-configfilters\flume-ng-config-filter-api\1.9.0\flume-ng-config-filter-api-1.9.0.jar;G:\apache-maven-3.6.1\repo\org\apache\flume\flume-ng-auth\1.9.0\flume-ng-auth-1.9.0.jar;G:\apache-maven-3.6.1\repo\commons-codec\commons-codec\1.8\commons-codec-1.8.jar;G:\apache-maven-3.6.1\repo\commons-cli\commons-cli\1.2\commons-cli-1.2.jar;G:\apache-maven-3.6.1\repo\commons-lang\commons-lang\2.5\commons-lang-2.5.jar;G:\apache-maven-3.6.1\repo\org\apache\avro\avro\1.7.4\avro-1.7.4.jar;G:\apache-maven-3.6.1\repo\org\codehaus\jackson\jackson-core-asl\1.8.8\jackson-core-asl-1.8.8.jar;G:\apache-maven-3.6.1\repo\org\codehaus\jackson\jackson-mapper-asl\1.8.8\jackson-mapper-asl-1.8.8.jar;G:\apache-maven-3.6.1\repo\com\thoughtworks\paranamer\paranamer\2.3\paranamer-2.3.jar;G:\apache-maven-3.6.1\repo\org\xerial\snappy\snappy-java\1.0.4.1\snappy-java-1.0.4.1.jar;G:\apache-maven-3.6.1\repo\org\apache\commons\commons-compress\1.4.1\commons-compress-1.4.1.jar;G:\apache-maven-3.6.1\repo\org\tukaani\xz\1.0\xz-1.0.jar;G:\apache-maven-3.6.1\repo\org\apache\avro\avro-ipc\1.7.4\avro-ipc-1.7.4.jar;G:\apache-maven-3.6.1\repo\org\mortbay\jetty\jetty\6.1.26\jetty-6.1.26.jar;G:\apache-maven-3.6.1\repo\org\mortbay\jetty\jetty-util\6.1.26\jetty-util-6.1.26.jar;G:\apache-maven-3.6.1\repo\org\apache\velocity\velocity\1.7\velocity-1.7.jar;G:\apache-maven-3.6.1\repo\commons-collections\commons-collections\3.2.1\commons-collections-3.2.1.jar;G:\apache-maven-3.6.1\repo\joda-time\joda-time\2.9.9\joda-time-2.9.9.jar;G:\apache-maven-3.6.1\repo\org\eclipse\jetty\jetty-servlet\9.4.6.v20170531\jetty-servlet-9.4.6.v20170531.jar;G:\apache-maven-3.6.1\repo\org\eclipse\jetty\jetty-security\9.4.6.v20170531\jetty-security-9.4.6.v20170531.jar;G:\apache-maven-3.6.1\repo\org\eclipse\jetty\jetty-util\9.4.6.v20170531\jetty-util-9.4.6.v20170531.jar;G:\apache-maven-3.6.1\repo\org\eclipse\jetty\jetty-server\9.4.6.v20170531\jetty-server-9.4.6.v20170531.jar;G:\apache-maven-3.6.1\repo\javax\servlet\javax.servlet-api\3.1.0\javax.servlet-api-3.1.0.jar;G:\apache-maven-3.6.1\repo\org\eclipse\jetty\jetty-http\9.4.6.v20170531\jetty-http-9.4.6.v20170531.jar;G:\apache-maven-3.6.1\repo\org\eclipse\jetty\jetty-io\9.4.6.v20170531\jetty-io-9.4.6.v20170531.jar;G:\apache-maven-3.6.1\repo\org\eclipse\jetty\jetty-jmx\9.4.6.v20170531\jetty-jmx-9.4.6.v20170531.jar;G:\apache-maven-3.6.1\repo\com\google\code\gson\gson\2.2.2\gson-2.2.2.jar;G:\apache-maven-3.6.1\repo\org\apache\thrift\libthrift\0.9.3\libthrift-0.9.3.jar;G:\apache-maven-3.6.1\repo\org\apache\httpcomponents\httpclient\4.4.1\httpclient-4.4.1.jar;G:\apache-maven-3.6.1\repo\commons-logging\commons-logging\1.2\commons-logging-1.2.jar;G:\apache-maven-3.6.1\repo\org\apache\httpcomponents\httpcore\4.4.1\httpcore-4.4.1.jar;G:\apache-maven-3.6.1\repo\org\apache\mina\mina-core\2.0.4\mina-core-2.0.4.jar;G:\apache-maven-3.6.1\repo\org\apache\flume\flume-ng-sdk\1.9.0\flume-ng-sdk-1.9.0.jar;C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2020.1.2\lib\idea_rt.jar
14 八月 2020 17:28:09,530 INFO  [main] (org.apache.zookeeper.Environment.logEnv:100)  - Client environment:java.library.path=C:\Program Files\Java\jdk1.8.0_251\bin;C:\Windows\Sun\Java\bin;C:\Windows\system32;C:\Windows;C:\Program Files (x86)\Common Files\Oracle\Java\javapath;C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v10.1\bin;C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v10.1\libnvvp;C:\Program Files (x86)\Common Files\Intel\Shared Libraries\redist\intel64\compiler;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Windows\System32\OpenSSH\;C:\Users\ADMIN\anaconda3\Scripts;C:\Program Files\Git\cmd;C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common;C:\Program Files\Java\jdk1.8.0_251\bin;C:\Program Files\Java\jdk1.8.0_251\jre\bin;G:\apache-maven-3.6.1\bin;C:\Users\ADMIN\AppData\Local\Microsoft\WindowsApps;;C:\Program Files\JetBrains\PyCharm Community Edition 2020.2\bin;;.
14 八月 2020 17:28:09,530 INFO  [main] (org.apache.zookeeper.Environment.logEnv:100)  - Client environment:java.io.tmpdir=C:\Users\ADMIN\AppData\Local\Temp\
14 八月 2020 17:28:09,530 INFO  [main] (org.apache.zookeeper.Environment.logEnv:100)  - Client environment:java.compiler=<NA>
14 八月 2020 17:28:09,530 INFO  [main] (org.apache.zookeeper.Environment.logEnv:100)  - Client environment:os.name=Windows 10
14 八月 2020 17:28:09,530 INFO  [main] (org.apache.zookeeper.Environment.logEnv:100)  - Client environment:os.arch=amd64
14 八月 2020 17:28:09,530 INFO  [main] (org.apache.zookeeper.Environment.logEnv:100)  - Client environment:os.version=10.0
14 八月 2020 17:28:09,530 INFO  [main] (org.apache.zookeeper.Environment.logEnv:100)  - Client environment:user.name=ADMIN
14 八月 2020 17:28:09,530 INFO  [main] (org.apache.zookeeper.Environment.logEnv:100)  - Client environment:user.home=C:\Users\ADMIN
14 八月 2020 17:28:09,531 INFO  [main] (org.apache.zookeeper.Environment.logEnv:100)  - Client environment:user.dir=C:\Users\ADMIN\IdeaProjects\test
14 八月 2020 17:28:09,532 INFO  [main] (org.apache.zookeeper.ZooKeeper.<init>:438)  - Initiating client connection, connectString=192.168.186.100:2181 sessionTimeout=10000 watcher=org.apache.curator.ConnectionState@56cbfb61
14 八月 2020 17:28:09,736 INFO  [main-SendThread(192.168.186.100:2181)] (org.apache.zookeeper.ClientCnxn$SendThread.logStartConnect:1032)  - Opening socket connection to server 192.168.186.100/192.168.186.100:2181. Will not attempt to authenticate using SASL (unknown error)
14 八月 2020 17:28:09,737 INFO  [main-SendThread(192.168.186.100:2181)] (org.apache.zookeeper.ClientCnxn$SendThread.primeConnection:876)  - Socket connection established to 192.168.186.100/192.168.186.100:2181, initiating session
14 八月 2020 17:28:09,744 INFO  [main-SendThread(192.168.186.100:2181)] (org.apache.zookeeper.ClientCnxn$SendThread.onConnected:1299)  - Session establishment complete on server 192.168.186.100/192.168.186.100:2181, sessionid = 0x173e6cd2ea30029, negotiated timeout = 10000
14 八月 2020 17:28:09,749 INFO  [main-EventThread] (org.apache.curator.framework.state.ConnectionStateManager.postState:228)  - State change: CONNECTED
14 八月 2020 17:28:09,765 INFO  [main] (org.apache.zookeeper.ZooKeeper.<init>:438)  - Initiating client connection, connectString=192.168.186.100:2181 sessionTimeout=30000 watcher=org.I0Itec.zkclient.ZkClient@2286778
14 八月 2020 17:28:09,766 INFO  [ZkClient-EventThread-17-192.168.186.100:2181] (org.I0Itec.zkclient.ZkEventThread.run:65)  - Starting ZkClient event thread.
14 八月 2020 17:28:09,766 INFO  [main] (org.I0Itec.zkclient.ZkClient.waitForKeeperState:936)  - Waiting for keeper state SyncConnected
